	age	job	marital	education	default	balance	housing	loan	contact	previous	poutcome	y
118	39	2	2	1	0	52	0	0	1	0	3	0
119	46	5	1	3	0	25	0	0	3	0	3	0
120	31	1	1	2	0	1890	1	0	1	0	3	0
121	45	2	2	1	0	419	0	0	1	0	3	0
122	32	10	2	2	0	2693	1	0	3	0	3	0
123	36	2	2	2	0	-231	0	1	1	0	3	0
124	51	5	3	3	1	-55	1	0	1	6	1	0
125	34	7	3	3	0	462	0	0	1	0	3	1
126	24	11	3	2	0	119	0	0	3	0	3	0
127	45	10	3	2	0	586	0	1	1	0	3	0
128	32	2	3	2	0	228	0	0	2	3	1	0
129	77	6	1	3	0	4659	0	0	1	0	3	1
130	41	2	2	1	0	168	1	0	1	0	3	0
131	37	2	2	1	0	0	1	0	3	0	3	0
132	43	2	2	4	1	-715	1	0	3	0	3	0
133	48	1	2	4	0	0	1	0	1	2	1	0
134	27	10	3	2	0	769	1	0	3	0	3	0
135	33	5	3	3	0	0	0	0	1	0	3	0
136	29	1	3	2	0	428	1	1	1	2	1	0
137	34	5	3	3	0	0	0	0	1	0	3	0
138	52	5	2	3	0	-970	1	0	1	0	3	1
139	60	5	2	4	0	6313	0	0	3	0	3	0
140	32	5	1	3	0	948	0	0	1	0	3	0
141	32	5	3	3	0	0	1	0	1	0	3	0
142	56	8	1	4	0	1877	1	0	3	0	3	0
143	31	5	3	3	0	874	1	0	1	0	3	0
144	42	1	2	2	0	323	1	1	3	0	3	0
145	35	5	2	3	0	106	0	1	1	0	3	0
146	56	6	2	1	0	1906	0	1	3	0	3	0
147	48	10	2	2	0	1152	1	0	1	0	3	0
148	46	1	2	2	0	179	1	0	1	1	4	0
149	37	10	3	4	0	391	1	0	3	0	3	0
150	41	3	2	4	0	89	1	0	3	0	3	0
151	36	5	3	3	0	442	1	1	1	0	3	0
152	45	11	1	1	1	-249	1	1	3	0	3	0
153	55	3	2	2	0	8104	0	0	1	0	3	0
154	39	10	2	2	0	501	0	0	3	0	3	0
155	35	10	1	2	0	308	0	0	1	0	3	0
156	55	1	2	2	0	602	0	0	1	2	2	1
157	55	10	2	2	0	273	1	0	1	3	1	0
158	27	7	3	2	0	50	0	0	1	0	3	0
159	34	10	2	2	0	1641	1	0	1	0	3	0
160	34	2	2	3	0	20	0	0	3	0	3	0
161	25	1	3	2	0	4590	1	0	3	0	3	0
162	41	1	3	2	0	-256	0	1	3	0	3	0
163	43	8	2	2	0	978	1	1	3	0	3	0
164	28	5	3	3	0	80	0	0	1	2	1	1
165	31	1	3	2	0	2104	1	0	3	0	3	0
166	78	4	2	2	0	499	0	0	2	0	3	0
167	45	2	1	2	0	1269	1	0	1	0	3	0
168	48	10	2	3	0	310	0	0	3	0	3	0
169	32	2	3	2	0	1143	1	1	1	0	3	0
170	42	10	2	2	0	2980	0	0	3	0	3	0
171	37	5	3	3	0	37	0	0	1	0	3	0
172	40	1	3	2	0	462	1	1	1	4	4	0
173	32	1	2	2	0	1031	1	0	1	0	3	0
174	42	5	2	3	0	9009	0	0	1	0	3	0
175	43	1	2	2	0	-465	1	1	1	0	3	0
176	44	1	2	2	0	5181	1	1	1	0	3	0
177	37	1	2	2	0	176	1	0	1	1	1	0
178	37	12	2	4	0	1699	0	0	3	0	3	0
179	37	1	2	3	0	0	1	0	1	1	1	0
180	28	10	3	3	0	172	1	1	1	0	3	0
181	32	8	3	2	0	0	0	1	1	0	3	0
182	34	1	3	2	0	6979	1	0	1	0	3	0
183	40	1	1	2	0	6	0	0	3	0	3	0
184	34	8	2	2	0	-62	1	0	3	0	3	0
185	34	7	2	3	0	1972	1	0	1	0	3	0
186	34	1	2	3	0	899	1	0	2	4	2	0
187	37	8	3	2	0	21	1	0	1	2	4	0
188	36	10	2	2	0	23	1	0	1	1	1	0
189	56	6	2	2	0	-1206	1	0	1	0	3	1
190	49	2	2	1	0	0	1	1	2	0	3	0
191	33	7	2	2	0	215	1	0	1	0	3	0
192	30	5	3	3	0	1372	0	0	1	0	3	0
193	36	8	2	2	0	1981	0	0	3	0	3	0
194	23	9	3	2	0	9216	0	0	1	0	3	0
195	57	6	1	2	0	39	1	0	1	0	3	0
196	27	2	3	2	0	5563	1	0	3	0	3	0
197	38	8	2	2	0	1	0	1	1	0	3	0
198	42	10	2	3	0	782	0	0	1	0	3	0
199	75	6	2	2	0	3771	0	0	2	2	2	1
200	34	10	3	3	0	992	1	0	1	2	2	0
201	48	10	2	2	0	1526	0	0	1	0	3	0
202	35	10	3	3	0	2658	1	0	1	3	1	1
203	39	5	1	3	0	1315	1	0	1	1	1	0
204	29	2	3	3	0	455	0	0	2	0	3	1
205	45	10	3	3	0	0	1	0	1	0	3	0
206	42	10	2	2	0	2030	1	1	1	0	3	0
207	29	10	2	2	0	1599	1	0	1	1	1	0
208	38	8	3	2	0	-196	1	0	1	1	1	0
209	56	6	2	2	0	1333	0	0	1	0	3	0
210	36	10	3	2	0	9149	1	0	1	0	3	0
211	25	2	3	2	0	-350	1	0	3	0	3	0
212	38	10	2	3	0	432	1	0	1	1	4	0
213	57	7	2	2	0	11494	0	0	1	0	3	0
214	31	5	2	3	1	-253	0	0	1	0	3	0
215	42	5	2	3	0	372	1	0	1	0	3	1
216	45	10	2	2	0	1410	0	0	1	0	3	0
217	30	2	2	2	0	975	1	0	1	2	1	0
218	49	2	2	1	0	305	1	1	2	0	3	0
219	49	8	2	2	0	400	0	0	1	0	3	0
220	53	6	2	3	0	-22	1	0	1	0	3	0
221	37	10	2	2	0	4030	1	0	3	0	3	0
222	49	2	2	1	0	365	0	0	3	0	3	0
223	41	7	2	1	0	204	0	0	1	0	3	0
224	54	5	2	1	0	1691	1	0	1	0	3	0
225	32	8	3	2	0	406	1	0	3	0	3	0
226	33	10	2	2	0	-204	0	0	1	0	3	0
227	33	10	2	2	0	359	1	0	1	1	4	0
228	36	2	2	1	0	123	1	0	1	0	3	0
229	35	10	2	3	0	0	1	1	1	6	4	0
230	52	12	2	2	0	142	0	0	1	0	3	0
231	40	3	2	3	0	3571	0	0	3	0	3	0
232	44	10	3	2	0	33	1	0	1	10	1	0
233	45	2	3	2	0	0	1	0	1	5	2	0
234	30	9	3	2	0	3096	0	0	1	0	3	0
235	48	10	1	2	1	20	0	0	1	0	3	0
236	33	2	2	2	0	3576	1	0	1	2	4	0
237	57	10	2	4	0	206	1	0	3	0	3	0
238	57	4	2	1	0	7082	0	0	3	0	3	0
239	51	11	2	3	0	1634	1	0	1	0	3	0
240	34	1	3	2	0	1	1	0	1	0	3	0
241	50	7	2	3	0	4012	0	0	1	0	3	0
242	44	5	2	3	0	3762	0	0	1	0	3	0
243	27	1	2	2	0	-247	1	1	3	0	3	0
244	50	2	2	2	0	606	1	0	3	0	3	0
245	36	5	2	3	0	0	1	0	1	1	4	0
246	42	5	2	2	0	-189	1	0	3	0	3	0
247	32	11	3	2	0	0	0	0	1	0	3	0
248	42	5	2	3	0	484	1	0	1	0	3	0
249	43	10	2	2	0	0	0	1	1	5	1	0
250	31	5	2	3	0	395	1	0	1	0	3	0
251	32	5	2	3	0	2349	0	0	1	0	3	0
252	55	2	1	1	0	410	0	1	1	0	3	0
253	58	6	2	1	0	3401	1	0	1	2	1	0
254	46	2	2	1	0	222	0	0	1	0	3	0
255	55	2	2	2	0	989	1	1	3	0	3	0
256	34	5	2	3	0	415	0	1	1	0	3	0
257	28	11	3	2	0	16	0	0	1	0	3	0
258	42	10	1	3	0	7190	1	0	1	0	3	0
259	29	2	3	2	0	482	0	1	1	0	3	1
260	54	4	2	2	0	209	1	1	1	0	3	0
261	32	10	3	2	0	0	0	0	1	0	3	0
262	39	10	3	3	0	5803	0	0	1	0	3	0
263	53	3	2	3	0	624	0	1	1	0	3	0
264	58	10	2	3	0	883	0	0	1	2	1	0
265	40	7	2	2	0	1516	1	1	3	0	3	0
266	29	9	3	2	0	872	1	0	3	0	3	0
267	33	10	2	3	0	-988	1	1	1	0	3	0
268	38	1	3	2	0	902	1	0	2	0	3	0
269	56	8	1	2	0	1007	0	0	1	0	3	0
270	40	8	2	2	0	0	1	0	1	3	1	0
271	24	2	3	2	0	174	1	1	1	0	3	1
272	46	5	2	2	0	12186	0	0	3	0	3	0
273	35	7	2	2	0	524	1	0	1	0	3	0
274	35	2	3	3	0	0	1	0	1	0	3	0
275	34	10	2	2	0	4	1	0	3	0	3	0
276	35	4	2	3	0	11219	0	0	1	1	1	0
277	38	10	3	3	0	0	0	0	1	0	3	0
278	50	2	2	1	0	5776	0	0	1	0	3	0
279	51	2	1	1	0	37	1	0	1	0	3	0
280	59	7	2	3	0	593	0	0	3	0	3	0
281	32	2	2	2	0	1148	1	0	1	0	3	0
282	37	2	3	2	0	3561	1	0	3	0	3	0
283	42	1	1	2	0	63	0	0	3	0	3	0
284	40	9	2	2	0	260	0	0	3	0	3	0
285	28	10	3	3	0	2269	1	0	3	0	3	0
286	47	1	2	2	0	1060	1	0	3	0	3	0
287	27	7	2	2	0	-220	1	0	3	0	3	0
288	41	5	2	3	0	49	1	0	1	0	3	0
289	34	1	2	3	0	69	0	1	1	6	2	1
290	50	2	2	1	0	4108	1	0	1	0	3	1
291	47	2	2	2	0	480	1	0	3	0	3	0
292	53	8	2	2	0	4994	0	0	1	0	3	0
293	53	10	1	2	0	0	1	1	1	0	3	0
294	47	5	2	3	0	3681	0	0	1	0	3	0
295	49	3	1	4	1	-701	1	0	1	0	3	1
296	29	5	2	3	0	451	0	0	1	0	3	0
297	45	2	1	1	0	-311	1	0	3	0	3	1
298	38	3	2	2	0	593	1	1	1	0	3	1
299	32	2	2	2	0	759	1	0	1	0	3	1
300	70	6	1	1	0	4531	0	0	1	0	3	0
301	65	6	1	1	0	1840	0	0	1	5	1	0
302	56	2	2	2	0	345	1	0	2	0	3	0
303	35	2	2	2	0	1287	1	0	1	0	3	0
304	56	5	2	4	0	353	0	1	1	0	3	0
305	56	10	2	2	0	205	0	1	1	0	3	0
306	49	3	2	2	0	687	1	0	1	0	3	1
307	38	11	2	1	0	1147	1	1	3	0	3	0
308	35	5	2	3	0	4286	1	0	3	0	3	0
309	38	1	2	3	0	605	0	0	1	0	3	0
310	49	2	2	2	0	8545	1	1	1	1	1	0
311	55	5	2	4	0	559	0	0	1	0	3	0
312	43	2	3	1	0	2	1	0	1	0	3	0
313	43	5	2	3	0	2	0	1	1	0	3	0
314	25	1	3	3	0	760	1	0	1	2	1	1
315	30	2	2	1	0	1317	1	0	3	0	3	0
316	46	2	2	2	0	182	0	0	1	0	3	0
317	50	1	2	1	0	276	0	1	3	0	3	0
318	35	3	2	2	0	2971	0	0	1	2	1	1
319	26	11	3	2	0	1064	0	0	3	0	3	0
320	45	1	2	4	0	1783	0	0	3	0	3	0
321	37	2	2	2	0	-67	0	0	1	0	3	0
322	60	7	3	3	0	179	0	1	1	0	3	0
323	38	5	2	3	0	1199	0	0	1	1	2	1
324	47	2	2	1	0	214	1	1	3	0	3	0
325	33	10	2	2	0	6699	0	0	1	1	1	0
326	51	11	2	2	0	1760	0	1	1	0	3	0
327	35	3	3	3	0	145	1	0	1	0	3	1
328	35	11	2	2	0	978	0	0	1	3	2	1
329	48	1	3	2	0	1150	1	0	3	0	3	0
330	37	1	2	2	0	121	0	0	1	0	3	0
331	29	10	3	3	0	828	1	0	1	3	4	0
332	34	1	2	2	0	244	1	0	1	0	3	0
333	32	8	2	1	0	228	1	0	1	0	3	1
334	30	5	3	3	0	424	0	0	1	0	3	1
335	47	5	1	3	0	447	0	1	3	0	3	0
336	33	2	2	1	0	-195	0	0	3	0	3	0
337	33	5	3	3	0	1410	1	0	1	5	1	0
338	63	6	2	1	0	1084	0	0	1	1	2	0
339	51	7	1	1	0	10924	0	0	1	0	3	0
340	41	5	2	3	0	832	1	1	1	1	1	0
341	56	6	2	3	0	478	0	0	1	0	3	0
342	60	5	3	3	0	0	0	1	1	0	3	0
343	41	7	3	3	0	3950	1	0	3	0	3	0
344	37	5	3	4	0	504	1	0	1	0	3	0
345	36	2	3	2	0	219	1	1	1	1	1	0
346	57	5	2	3	0	1602	0	0	1	0	3	0
347	55	5	2	1	0	2587	0	0	1	2	2	1
348	44	1	2	2	0	0	1	1	3	0	3	0
349	47	7	2	3	0	2303	1	0	1	1	1	0
350	31	2	2	2	0	1660	1	0	1	0	3	0
351	35	5	2	3	1	32	1	0	1	0	3	0
352	39	5	2	3	0	278	0	1	1	0	3	0
353	50	5	2	3	0	4	0	0	1	2	1	0
354	29	5	2	3	0	318	1	0	1	4	1	0
355	30	8	3	2	0	209	1	0	3	0	3	0
356	46	8	2	2	0	271	1	0	3	0	3	0
357	27	5	3	4	0	3196	0	0	1	0	3	0
358	48	1	1	2	0	4099	0	0	1	0	3	1
359	26	9	3	2	0	2572	1	0	1	0	3	0
360	36	5	3	3	0	339	0	0	1	0	3	0
361	42	2	2	1	0	0	1	1	1	0	3	0
362	50	4	2	1	0	395	1	0	3	0	3	0
363	49	2	2	2	0	2039	1	0	1	0	3	0
364	45	5	2	3	0	5450	0	0	1	0	3	0
365	23	9	3	2	0	780	0	0	1	0	3	0
366	38	10	3	2	0	0	1	0	1	0	3	0
367	32	5	3	3	0	8436	1	0	1	2	1	0
368	60	10	3	1	0	11262	0	0	1	0	3	1
369	30	3	2	2	0	946	1	0	1	1	4	0
370	58	4	2	3	0	497	0	0	3	0	3	0
371	60	6	2	1	0	55	0	0	1	0	3	0
372	38	8	2	2	0	-140	0	0	3	0	3	0
373	51	10	2	2	0	-379	1	0	1	0	3	0
374	42	1	2	2	0	-396	1	0	1	4	1	0
375	30	8	3	2	0	0	1	0	1	9	1	0
376	40	5	2	1	0	733	1	0	3	0	3	0
377	37	5	2	3	0	393	1	0	1	4	1	1
378	53	10	1	1	0	7290	1	0	3	0	3	0
379	27	8	3	2	0	468	1	0	1	0	3	0
380	39	2	2	2	0	0	1	0	1	1	1	0
381	39	2	2	1	0	3705	1	0	3	0	3	0
382	59	6	2	3	0	9676	0	0	2	0	3	1
383	37	8	2	2	0	1328	1	0	2	4	1	0
384	41	2	2	1	0	8	1	0	1	0	3	0
385	45	2	2	1	0	61	0	0	1	0	3	0
386	48	5	2	3	0	6613	0	0	3	0	3	0
387	48	10	2	2	0	302	1	0	3	0	3	0
388	32	2	2	2	0	1005	0	0	1	0	3	0
389	35	8	2	2	0	109	1	0	3	0	3	0
390	33	5	3	3	0	1240	1	0	1	1	4	0
391	28	2	3	1	0	0	1	1	3	0	3	0
392	64	6	2	4	0	2923	0	0	1	0	3	0
393	35	10	2	2	0	0	0	0	1	0	3	0
394	33	2	2	2	0	43	1	0	1	2	1	0
395	41	10	2	2	0	288	1	0	3	0	3	0
396	34	1	2	2	0	613	1	0	1	0	3	0
397	37	10	3	3	0	6101	0	0	1	1	2	0
398	38	2	2	1	0	168	1	1	2	0	3	0
399	39	2	2	1	0	7685	1	0	1	0	3	0
400	35	10	1	3	0	4515	1	0	1	0	3	0
401	28	2	3	2	0	517	0	1	1	0	3	1
402	27	2	3	2	0	148	0	0	1	0	3	0
403	48	6	2	1	1	-285	0	1	1	0	3	0
404	50	2	2	2	0	887	0	0	3	0	3	0
405	45	7	2	2	0	3098	1	0	1	0	3	0
406	41	10	2	3	0	744	1	0	3	0	3	0
407	39	10	2	2	0	130	0	0	1	0	3	0
408	44	5	2	2	0	438	1	0	2	1	1	0
409	54	1	2	2	0	0	0	0	1	2	1	1
410	49	5	2	3	0	322	0	0	1	0	3	0
411	34	2	3	2	0	186	0	0	1	0	3	0
412	75	6	1	3	0	3810	1	0	1	1	1	1
413	42	5	2	3	0	0	0	0	1	0	3	0
414	53	2	2	2	0	4380	0	0	2	0	3	0
415	49	5	1	3	0	755	0	0	1	0	3	1
416	31	8	3	2	0	2070	0	0	1	0	3	0
417	45	2	3	1	0	999	0	0	1	0	3	0
418	39	7	2	2	0	167	1	1	1	0	3	0
419	46	10	2	2	0	1322	1	1	1	0	3	0
420	42	1	1	2	0	1076	1	0	3	0	3	0
421	37	5	2	3	0	502	1	0	1	1	1	0
422	26	10	3	3	0	1216	1	0	1	0	3	0
423	37	5	3	3	0	876	1	0	1	2	1	0
424	36	8	3	2	0	342	1	0	3	0	3	0
425	29	2	3	1	0	950	1	0	3	0	3	0
426	36	2	2	1	0	973	1	1	3	0	3	0
427	26	10	2	3	0	3825	1	0	3	0	3	0
428	32	2	2	2	0	2366	1	0	3	0	3	0
429	40	5	2	3	0	542	1	0	1	0	3	0
430	53	5	2	1	0	995	0	0	1	0	3	0
431	29	5	2	3	0	20	1	0	1	0	3	0
432	34	10	3	3	0	228	1	0	1	0	3	0
433	43	2	2	2	0	130	0	0	1	3	1	0
434	56	5	2	3	0	217	0	1	1	0	3	0
435	55	3	1	3	0	0	0	0	3	0	3	0
436	31	7	2	3	0	259	1	0	1	0	3	0
437	27	1	3	2	0	619	1	0	1	4	4	0
438	36	5	2	2	0	644	1	0	1	0	3	0
439	44	5	2	3	0	22	1	0	1	0	3	0
440	37	1	1	3	0	4303	1	0	3	0	3	0
441	30	1	3	2	0	239	1	0	1	0	3	0
442	42	10	3	2	0	275	0	0	1	0	3	0
443	30	5	2	3	0	1221	1	0	2	0	3	1
444	62	6	2	2	0	816	0	0	1	0	3	0
445	24	2	2	2	0	1222	1	0	1	0	3	0
446	31	10	2	2	0	2363	1	0	3	0	3	0
447	66	6	2	3	0	2262	0	0	1	0	3	0
448	47	1	2	2	0	2	0	0	1	0	3	0
449	39	3	2	3	0	2	1	0	1	0	3	0
450	35	10	2	2	0	4508	1	0	1	0	3	1
451	35	1	1	2	0	-402	1	0	1	0	3	0
452	27	10	2	2	0	1577	1	1	3	0	3	0
453	32	2	2	2	0	34	1	0	1	0	3	0
454	44	5	2	3	0	795	0	0	1	0	3	0
455	42	2	2	2	0	117	1	0	3	0	3	0
456	34	7	3	3	0	5462	0	0	1	0	3	1
457	25	8	3	2	0	402	0	1	1	0	3	0
458	40	10	3	2	0	641	0	0	1	0	3	0
459	43	5	1	3	0	36	0	0	1	2	1	0
460	55	11	2	3	0	383	0	0	3	0	3	0
461	50	2	2	2	0	283	1	0	1	0	3	0
462	45	5	1	3	0	0	0	0	3	0	3	0
463	35	2	1	2	0	3102	1	0	1	0	3	0
464	32	2	2	2	0	889	1	0	1	5	2	1
465	59	4	2	2	0	0	0	0	2	4	1	0
466	34	7	2	2	0	-370	1	0	3	0	3	0
467	39	5	2	3	0	-606	1	0	3	0	3	0
468	40	5	3	2	0	10378	1	0	1	0	3	0
469	36	2	3	1	0	1313	1	0	3	0	3	0
470	40	5	2	3	0	8969	1	0	1	0	3	0
471	55	7	2	2	0	-196	1	0	3	0	3	0
472	38	3	2	2	1	15	1	0	1	0	3	0
473	61	1	2	2	0	4608	0	0	1	0	3	1
474	41	5	2	3	0	666	1	0	3	0	3	0
475	57	2	2	1	0	452	1	0	3	0	3	0
476	48	2	2	2	0	149	1	0	3	0	3	0
477	77	6	2	3	0	7802	0	0	2	2	2	1
478	35	8	2	2	0	1453	1	0	3	0	3	0
479	54	2	2	2	0	1480	1	0	3	0	3	0
480	37	5	3	4	0	715	1	0	3	0	3	0
481	56	5	3	2	0	237	1	0	2	0	3	0
482	40	10	2	2	0	694	1	0	1	5	1	0
483	40	5	2	3	0	0	0	0	1	0	3	0
484	54	5	2	3	0	55	1	0	1	0	3	0
485	55	4	2	1	0	136	1	0	3	0	3	0
486	55	8	1	2	1	-404	1	0	1	0	3	0
487	52	2	2	1	0	779	1	0	3	0	3	0
488	55	2	3	1	0	1187	1	0	3	0	3	0
489	33	5	2	3	0	641	1	0	1	0	3	0
490	52	2	2	4	0	826	1	0	3	0	3	0
491	33	8	1	2	0	991	1	0	3	0	3	0
492	53	1	2	2	0	1796	0	0	2	2	2	1
493	46	1	2	2	0	22	0	0	1	0	3	1
494	44	10	3	2	0	244	1	0	1	0	3	1
495	48	5	1	3	0	1328	1	0	3	0	3	0
496	50	4	2	2	0	7317	1	0	1	1	1	0
497	34	10	3	2	0	4943	1	1	1	0	3	0
498	38	10	3	2	0	258	0	1	3	0	3	0
499	42	5	3	3	0	515	1	0	1	0	3	0
500	32	5	3	3	0	12607	0	0	1	1	1	0
501	58	1	2	2	0	2	1	1	2	0	3	0
502	31	5	2	3	0	13	0	0	1	0	3	0
503	19	9	3	1	0	103	0	0	1	0	3	1
504	41	5	2	3	0	3872	0	0	1	0	3	0
505	31	11	2	2	0	296	1	0	3	0	3	0
506	52	7	3	1	0	217	0	1	1	0	3	0
507	42	7	1	3	0	360	1	0	3	0	3	0
508	41	2	3	2	0	428	1	0	1	0	3	0
509	30	2	3	2	0	315	0	0	1	0	3	1
510	38	2	2	2	0	121	1	1	1	2	1	0
511	32	5	2	3	0	820	1	0	1	0	3	0
512	52	10	2	2	0	195	1	0	1	5	1	1
513	48	5	1	3	0	108	1	0	3	0	3	0
514	36	5	2	3	0	-381	1	0	1	0	3	0
515	45	11	1	1	0	757	0	0	1	4	1	0
516	34	10	2	3	0	691	1	1	3	0	3	0
517	36	2	2	1	0	1925	1	0	1	0	3	1
518	34	5	2	3	0	902	1	0	1	2	4	0
519	61	6	2	2	0	5207	0	0	1	2	4	0
520	54	8	2	2	0	0	0	0	3	0	3	0
521	50	3	2	2	0	665	0	0	2	0	3	0
522	43	1	1	2	0	738	1	0	1	4	1	0
523	47	2	2	1	0	233	0	0	1	0	3	0
524	45	8	2	2	0	-839	1	0	3	0	3	0
525	57	6	2	1	0	5799	0	0	3	0	3	0
526	27	1	2	2	0	1033	1	0	3	0	3	0
